ID,PAYMENT_DATE,AMOUNT,VISIT_ID
1,2023-12-15,12.99,1
2,2023-11-20,15.49,2
3,2023-10-25,12.99,3
4,2023-09-30,12.99,4
5,2023-08-05,22.99,5
6,2023-07-10,18.99,6
7,2023-06-15,8.99,7
8,2023-05-20,8.99,8
9,2023-04-25,15.49,9
10,2023-03-30,10.99,10
11,2023-02-05,25.99,11
12,2023-01-10,18.99,12
13,2022-12-15,12.99,13
14,2022-11-20,51.96,14
15,2022-10-25,14.99,15
16,2022-09-30,15.49,16
17,2022-08-05,35.97,17
18,2022-07-10,10.99,18
19,2022-06-15,18.99,19
20,2022-05-20,19.98,20
21,2022-04-25,8.99,21
22,2022-03-30,12.99,22
23,2022-02-05,18.99,23
24,2022-01-10,11.99,24
25,2021-12-15,18.99,25
